uid	table	category	src_noisy	src_clean	ref_en	noise_span	noise_gold_en	noise_std	source_meta
A-NEO-121	A	NEO	台北人均1000+ 101夜景配龍蝦｜氛圍感西餐	台北人均1000+ 101夜景配龍蝦｜有情调的西餐	Taipei: NT$1,000+ per person | Taipei 101 night views with lobster | Western dining with immaculate vibes.	氛圍感	atmosphere ‖ vibe	有情调的	CSM
A-NEO-122	A	NEO	杨幂同款新年拜年服穿搭~真的显白18岁	与杨幂相同款式的新年拜年服穿搭~真的显白18岁	Yang Mi’s New Year greeting outfit look~ It really brightens your complexion and makes you look 18.	杨幂同款	same style ‖同款	与杨幂相同款式的	CSM
A-NEO-123	A	NEO	沉浸式做4寸 周岁小蛋糕	全程展示制作4寸 周岁小蛋糕	Immersive baking: a 4-inch first-birthday cake.	沉浸式做	immersive	全程展示制作	CSM
A-NEO-126	A	NEO	大连最适合浪费生命的地方……	大连最适合悠闲度日的地方……	The best place in Dalian to blissfully waste your life...	最适合浪费生命的地方	best place to waste life	最适合悠闲度日的地方	CSM
A-NEO-127	A	NEO	巴塞罗那🇪🇸打折村出行指南	巴塞罗那🇪🇸奥特莱斯购物村出行指南	Barcelona 🇪🇸 outlet village travel guide.	打折村	outlet village	奥特莱斯购物村	CSM
A-NEO-128	A	NEO	幸福到冒泡🫧	非常幸福🫧	So happy I’m practically bubbling 🫧	幸福到冒泡	so happy I'm bubbling	非常幸福	CSM
A-NEO-130	A	NEO	血脉觉醒！高颜值高能量水晶手串分享*8📿	本能被唤醒！高颜值高能量水晶手串分享*8📿	Bloodline awakened! Sharing eight gorgeous, high-energy crystal bracelets 📿	血脉觉醒	bloodline awakening	本能被唤醒	CSM
A-NEO-132	A	NEO	零基础乍到书法新手村 我什么时候可以大成	零基础刚开始学习书法 我什么时候可以大成	A complete beginner has entered calligraphy’s newbie village. When will I finally master it?	乍到书法新手村	starting out in calligraphy ‖ entering the beginner stage	刚开始学习书法	CSM
A-NEO-133	A	NEO	今日份晒澳白珍珠戒指	今天展示澳白珍珠戒指	Today’s post: showing off my Australian South Sea white pearl ring.	今日份晒	today's share	今天展示	CSM
A-NEO-135	A	NEO	RC绝美粉紫色缎面高跟鞋五折拿下	RC绝美粉紫色缎面高跟鞋五折买到	Scored these gorgeous pink-and-purple satin RC heels at 50% off.	拿下	get it ‖ secure	买到	CSM
A-NEO-136	A	NEO	金色猫眼➕黑色|简约显白跳色脚美甲	金色猫眼➕黑色|简约衬托肤色白皙的跳色脚美甲	Gold cat-eye + black | Simple, complexion-brightening color-block pedicure.	显白	whitening ‖ brightening	衬托肤色白皙的	CSM
A-NEO-138	A	NEO	成都的冬天真的是致郁	成都的冬天真的是让人抑郁	Winter in Chengdu is honestly depressing.	致郁	depressing	让人抑郁	CSM
A-NEO-139	A	NEO	轻奢老钱｜贵在气质	低调奢华的富贵风格｜贵在气质	Quiet luxury, old-money style | It’s all about the aura.	轻奢老钱	light luxury old money	低调奢华的富贵风格	CSM
A-NEO-140	A	NEO	这种健身又健脑的地方真的是牛马周末顶配	这种健身又健脑的地方真的是打工人周末顶配	A place that works both your body and brain—truly the ultimate weekend setup for corporate drones.	牛马	corporate drone ‖ working stiff	打工人	CSM
A-NEO-141	A	NEO	P人勇闯韩国首尔！3天2晚保姆级攻略	P人勇闯韩国首尔！3天2晚极其详细的攻略	A spontaneous P-type takes on Seoul! A comprehensive 3-day, 2-night guide.	保姆级	nanny-level ‖ comprehensive	极其详细的	CSM
A-NEO-142	A	NEO	2025年🌟属于春节的氛围感美甲💅	2025年🌟具有春节氛围的美甲💅	2025 🌟 Lunar New Year nails with all the festive vibes 💅	属于春节的氛围感美甲	Lunar New Year vibe nails	具有春节氛围的美甲	CSM
A-NEO-143	A	NEO	我发现跳舞可以旺自己！！！	我发现跳舞可以给自己带来好运！！！	I discovered that dancing can boost my luck!!!	旺自己	boost your luck	给自己带来好运	CSM
A-NEO-144	A	NEO	上海洛杉矶Long haul flight 带娃探险记	上海洛杉矶Long haul flight 带孩子探险记	Shanghai to Los Angeles long-haul flight: an adventure with the kids.	带娃	bring kids	带孩子	CSM
A-NEO-145	A	NEO	这个建构我是真整不了一点	这个建构我是真做不了	I seriously cannot handle this structure at all.	整不了一点	can't handle it at all	做不了	CSM
A-NEO-146	A	NEO	吹爆这四款美食收纳游戏🥳真的太好玩了🤤	极力推荐这四款美食收纳游戏🥳真的太好玩了🤤	I can’t praise these four food-organizing games enough 🥳 They’re seriously so much fun 🤤	吹爆	highly recommend ‖ rave about	极力推荐	CSM
A-NEO-147	A	NEO	做出了人生鸡小胸｜真的太嫩了🥹减脂绝佳	做出了最成功的鸡小胸｜真的太嫩了🥹减脂绝佳	Made the chicken tenderloin of my dreams | So unbelievably tender 🥹 Perfect for cutting fat.	人生鸡小胸	life's chicken tender	最成功的鸡小胸	CSM
A-NEO-148	A	NEO	老夫子周边🥹	老夫子衍生商品🥹	Old Master Q merch 🥹	周边	merchandise ‖ peripherals	衍生商品	CSM
A-NEO-149	A	NEO	曼谷外卖别把我好吃晕了…	曼谷外卖别把我馋得受不了了…	Bangkok delivery, please stop being so delicious I could faint...	好吃晕了	so delicious I'm dizzy	馋得受不了了	CSM
A-NEO-150	A	NEO	可糖芭比系列｜网感还是得看大直径	可糖芭比系列｜网络时尚感还是得看大直径	Ketan Barbie series | For that online-girl look, large-diameter lenses still win.	网感	internet sense	网络时尚感	CSM
A-NEO-151	A	NEO	美白亮肤的神！一篇教你谷雨光感套装怎么搭	美白亮肤的最佳产品！一篇教你谷雨光感套装怎么搭	The holy grail for brightening skin! One post teaches you how to pair Guyu’s Glow set.	神	god ‖ amazing	最佳产品	CSM
A-NEO-152	A	NEO	大阪对戒丝滑购入	大阪对戒顺利购入	Bought our matching rings in Osaka with zero hassle.	丝滑	smooth	顺利	CSM
A-NEO-153	A	NEO	以前画的黑暗欺骗同人图	以前画的黑暗欺骗二次创作图	Some old Dark Deception fan art I drew.	同人图	fan art	二次创作图	CSM
A-NEO-154	A	NEO	春节倒计时🧨浅浅期待一下今年的年夜饭吧🧧	春节倒计时🧨稍微期待一下今年的年夜饭吧🧧	Countdown to Lunar New Year 🧨 Just casually looking forward to this year’s reunion dinner 🧧	浅浅期待一下	look forward to it a bit	稍微期待一下	CSM
A-NEO-155	A	NEO	香港铜锣湾西太后探店🪐｜多图预警	香港铜锣湾薇薇安·威斯特伍德探店🪐｜多图预警	Store visit: Vivienne Westwood in Causeway Bay, Hong Kong 🪐 | Lots of photos ahead.	西太后	Empress Dowager ‖ Vivienne Westwood	薇薇安·威斯特伍德	CSM
A-NEO-156	A	NEO	张艺兴太旺了 福星啊	张艺兴太能带来好运了 福星啊	Zhang Yixing brings such good luck—he’s a lucky star.	太旺了	so prosperous	太能带来好运了	CSM
A-NEO-157	A	NEO	妈耶🆘神仙阵容‼️孙艺珍❌池昌旭新剧爱了🔥	天啊🆘神仙阵容‼️孙艺珍❌池昌旭新剧爱了🔥	Oh my God 🆘 What a divine cast‼️ Son Ye-jin × Ji Chang-wook—I’m already obsessed with this new drama 🔥	妈耶	oh my god	天啊	CSM
A-NEO-160	A	NEO	70kg脂包肌进入赛季	70kg肌肉外覆盖脂肪的体型进入赛季	70 kg, muscles under fat—entering competition season.	脂包肌	muscle under fat	肌肉外覆盖脂肪的体型	CSM
A-NEO-161	A	NEO	MBTI各种眼神杀！你能接得住？	MBTI各种迷人眼神！你能接得住？	MBTI types and their killer gazes! Can you handle them?	眼神杀	death stare	迷人眼神	CSM
A-NEO-162	A	NEO	我的病娇猫，爱得太沉重。	我的带有病态占有欲的猫，爱得太沉重。	My yandere cat—its love is way too intense.	病娇	yandere	带有病态占有欲的	CSM
A-NEO-163	A	NEO	鼓励你逆光上岸的励志文案	鼓励你克服困难获得成功的励志文案	Motivational captions to help you fight against the odds and make it.	逆光上岸	pass the exam ‖ make it	克服困难获得成功	CSM
A-NEO-164	A	NEO	缅北为什么没有拐卖新加坡和日本人？	缅甸北部为什么没有拐卖新加坡和日本人？	Why don’t human traffickers in northern Myanmar target Singaporeans and Japanese people?	缅北	northern Myanmar	缅甸北部	CSM
A-NEO-165	A	NEO	笑哭酒友！68条冷笑话版脑筋急转弯	让酒友笑到流泪！68条冷笑话版脑筋急转弯	Drinking buddies in tears from laughing! 68 brain teasers in terrible-joke form.	笑哭酒友	laughing-crying	让酒友笑到流泪	CSM
A-NEO-166	A	NEO	晒出你在tiktok🇺🇸看到最好笑的抽象帖！🤣	展示你在tiktok🇺🇸看到最好笑的抽象帖！🤣	Show us the funniest absurd post you’ve seen on U.S. TikTok! 🤣	晒出	show off	展示	CSM
A-NEO-167	A	NEO	减肥四个月真的换了一个人！逆袭	减肥四个月真的换了一个人！实现逆转	Four months of weight loss turned me into a completely different person—the ultimate glow-up.	逆袭	comeback ‖ turnaround	实现逆转	CSM
A-NEO-168	A	NEO	老外已经在学习中国话这个事情上 卷起来了	老外已经在学习中国话这个事情上 开始过度竞争	Foreigners are already getting fiercely competitive about learning Chinese.	卷起来了	getting competitive	开始过度竞争	CSM
A-NEO-169	A	NEO	🇯🇵 京都美食攻略 不踩雷 😋！	🇯🇵 京都美食攻略 不会遇到糟糕体验 😋！	🇯🇵 Kyoto food guide: delicious picks with no nasty surprises 😋!	不踩雷	no pitfalls ‖ safe choice	不会遇到糟糕体验	CSM
A-NEO-170	A	NEO	混血千金感必备灰色美瞳	营造混血富家小姐风格必备的灰色美瞳	Gray contacts are essential for that mixed-race heiress vibe.	混血千金感必备	essential for a mixed-race heiress vibe	营造混血富家小姐风格必备的	CSM
A-NEO-171	A	NEO	‼️日本大阪USJ环球影城大攻略	‼️日本大阪USJ环球影城详细指南	‼️ The ultimate guide to Universal Studios Japan in Osaka.	大攻略	big guide	详细指南	CSM
A-NEO-173	A	NEO	桂林📍景点避坑｜去桂林前一定要看哦‼	桂林📍景点注意事项｜去桂林前一定要看哦‼	Guilin 📍 Avoid tourist traps—read this before you go‼	景点避坑	avoid pitfalls	景点注意事项	CSM
A-NEO-176	A	NEO	哭死❗️后悔没早点看到这篇马来西亚攻略🙏	非常难过❗️后悔没早点看到这篇马来西亚攻略🙏	I could cry❗️ I regret not finding this Malaysia guide sooner 🙏	哭死	crying ‖ so sad	非常难过	CSM
A-NEO-177	A	NEO	国内有没有商家能做这个饼干的平替啊！！！！	国内有没有商家能做这个饼干的平价替代品啊！！！！	Is there any seller in China who can make an affordable dupe of these cookies?!!!!	平替	affordable alternative	平价替代品	CSM
A-NEO-178	A	NEO	分享一个桃花的玄学真相	分享一个桃花运中缺乏科学依据的说法	Sharing a mystical truth about romantic luck.	桃花的玄学真相	metaphysics ‖ mysticism	桃花运中缺乏科学依据的说法	CSM
A-NEO-180	A	NEO	搬运翻译玄鸡的趣图	转载翻译玄鸡的趣图	Reposting and translating funny Xuanji pictures.	搬运	repost ‖ translate	转载	CSM
A-NEO-181	A	NEO	Costco 是懂华人节日需求的	Costco 很了解华人节日需求	Costco really understands what Chinese shoppers need for the holidays.	是懂华人节日需求的	knows what's up	很了解华人节日需求	CSM
A-NEO-182	A	NEO	闲钱放哪收益高，搞钱女孩稳利宝攻略	闲钱放哪收益高，努力赚钱的女孩稳利宝攻略	Where should you put spare cash for better returns? A Wenlibao guide for girls focused on making money.	搞钱女孩	money-making girl	努力赚钱的女孩	CSM
A-NEO-183	A	NEO	🇲🇾产品也可以火到中国！🔥	🇲🇾产品也可以在中国走红！🔥	🇲🇾 Malaysian products can become popular in China too! 🔥	火到中国	become popular in China	在中国走红	CSM
A-NEO-184	A	NEO	一次外向换来终生自闭只需一首猫步轻boom	一次外向换来终生不敢再与人交往只需一首猫步轻boom	All it takes is one burst of extroversion—and one play of “Catwalk Qing Boom”—to make you socially withdrawn for life.	自闭	withdrawn ‖ introverted	不敢再与人交往	CSM
A-NEO-186	A	NEO	干货🔥一次带你搞懂修容和古铜	实用内容🔥一次带你搞懂修容和古铜	Useful guide 🔥 Understand contour and bronzer in one go.	干货	useful content ‖ practical info	实用内容	CSM
A-NEO-187	A	NEO	敢不敢，晒一晒你的人中比例	敢不敢，展示一下你的人中比例	Dare to show off your philtrum proportions?	晒一晒	show off	展示一下	CSM
A-NEO-188	A	NEO	独居一人食🍓抹茶草莓牛乳和草莓三明治！	独居者的一人餐🍓抹茶草莓牛乳和草莓三明治！	Solo-living meal for one 🍓 Matcha strawberry milk and a strawberry sandwich!	独居一人食	meal for one	独居者的一人餐	CSM
A-NEO-189	A	NEO	哥哥上线后，一登陆两眼一黑……	哥哥上线后，一登陆眼前一黑……	When big bro came online and logged in, everything went black before his eyes...	两眼一黑	blacked out	眼前一黑	CSM
A-NEO-190	A	NEO	过年走亲戚安排这个眼妆 新手小白一学就会	过年走亲戚安排这个眼妆 初学者一学就会	Try this eye makeup when visiting relatives for Lunar New Year—beginner-friendly and easy to learn.	新手小白	newbie ‖ beginner	初学者	CSM
A-NEO-191	A	NEO	泉州探店｜好評多多的韓國料理店	泉州到店体验｜好評多多的韓國料理店	Quanzhou restaurant review | A highly rated Korean restaurant.	探店	shop review	到店体验	CSM
A-NEO-192	A	NEO	深圳｜夏日解压好去处☀，6大室内运动馆推荐	深圳｜夏日缓解压力的好去处☀，6大室内运动馆推荐	Shenzhen | Six indoor sports venues that are perfect for unwinding this summer ☀	解压好去处	a good place to unwind	缓解压力的好去处	CSM
A-NEO-193	A	NEO	全国首家｜Kangaroo🦘落地杭州！！！	全国首家｜Kangaroo🦘在杭州开设门店！！！	A national first | Kangaroo 🦘 has opened in Hangzhou!!!	落地杭州	landed ‖ opened	在杭州开设门店	CSM
A-NEO-194	A	NEO	吉隆坡新晋网红餐厅•不得不试	吉隆坡新晋网络热门餐厅•不得不试	Kuala Lumpur’s newest viral restaurant—a must-try.	网红餐厅	influencer restaurant	网络热门餐厅	CSM
A-NEO-196	A	NEO	🇬🇧伦敦好吃的漂亮饭	🇬🇧伦敦好吃的精美餐点	🇬🇧 Delicious, pretty food in London.	漂亮饭	pretty meal	精美餐点	CSM
A-NEO-198	A	NEO	逆天漫画腿，建模比例Anok Yai	惊人的漫画腿，建模比例Anok Yai	Insanely long comic-book legs and model-perfect proportions—Anok Yai.	逆天	outrageous ‖ incredible	惊人的	CSM
A-NEO-199	A	NEO	吉隆坡超级无敌避雷的点！	吉隆坡非常需要避开的地方！	A place in Kuala Lumpur you absolutely, positively need to avoid!	超级无敌避雷的点	super invincible	非常需要避开的地方	CSM
A-NEO-201	A	NEO	？ 谁允许你在海洋馆最经典景观只放一半水的	？ 你为什么只给海洋馆最经典的景观放一半水	Who allowed you to fill only half the water in the aquarium’s most iconic exhibit?	谁允许你在海洋馆最经典景观只放一半水的	who allowed you to...	你为什么只给海洋馆最经典的景观放一半水	CSM
A-NEO-203	A	NEO	谁说上海跨年没有仪式感，我给你拉爆	谁说上海跨年没有过节氛围，我给你拉爆	Who says New Year’s Eve in Shanghai has no sense of occasion? I’ll give you the full experience.	仪式感	sense of ritual	过节氛围	CSM
A-NEO-204	A	NEO	对喜欢的人消息轰炸，其他已读不回	对喜欢的人连续发送大量消息，其他已读不回	I bombard the person I like with messages and leave everyone else on read.	消息轰炸	message bombing	连续发送大量消息	CSM
A-NEO-205	A	NEO	梦女&追星女发的文案	幻想与角色恋爱的女性粉丝&追星女发的文案	Captions for self-insert fangirls and idol fans.	梦女	dream girl	幻想与角色恋爱的女性粉丝	CSM
A-NEO-206	A	NEO	闭眼剪都好看的男生夏天短发	随便剪都好看的男生夏天短发	Men’s summer short haircuts that look good no matter what you pick.	闭眼剪	blind cut ‖ any cut looks good	随便剪	CSM
A-NEO-207	A	NEO	🇺🇸留子自制巴斯克大成功！	🇺🇸留学生自制巴斯克大成功！	🇺🇸 International student makes a Basque cheesecake—huge success!	留子	overseas student	留学生	CSM
A-NEO-209	A	NEO	在福州！找到了千与千寻同款汤屋！！	在福州！找到了与《千与千寻》中一样的汤屋！！	In Fuzhou! I found a bathhouse just like the one in Spirited Away!!	千与千寻同款	same style ‖同款	与《千与千寻》中一样的	CSM
A-NEO-210	A	NEO	2024🇹🇭曼谷米其林摘星🌟之旅全攻略	2024🇹🇭曼谷米其林摘星🌟之旅完整指南	The complete guide to a 2024 Michelin-star tour of Bangkok 🇹🇭 🌟	全攻略	complete guide	完整指南	CSM
A-NEO-212	A	NEO	官方番外绘本会有哪吒一家、敖丙一家、申公豹一家的更多故事哦！各式各样的可爱周边任大家挑选～	官方衍生绘本会有哪吒一家、敖丙一家、申公豹一家的更多故事哦！各式各样的可爱周边任大家挑选～	The official bonus picture book will have more stories about Ne Zha’s family, Ao Bing’s family, and Shen Gongbao’s family! There’s also all kinds of adorable merch to choose from~	番外绘本	bonus picture book	衍生绘本	CSM
A-NEO-220	A	NEO	#我的开箱日常[话题]# #长期主义[话题]# ＃电子榨菜 ＃购物分享 ＃超会穿企划 #秋日穿搭指南[话题]#	#我的开箱日常[话题]# #长期主义[话题]# ＃电子下饭内容 ＃购物分享 ＃超会穿企划 #秋日穿搭指南[话题]#	#MyUnboxingRoutine #LongTermism #BackgroundContent #ShoppingHaul #GreatStyleProject #FallOutfitGuide	电子榨菜	digital pickled vegetables ‖ content to eat with	电子下饭内容	CSM
A-NEO-223	A	NEO	哈哈哈哈哈哈哈哈 #机器人转手绢 好抽象	哈哈哈哈哈哈哈哈 #机器人转手绢 很荒诞	Hahahahahaha #RobotSpinningAHandkerchief is so absurd.	好抽象	so abstract	很荒诞	CSM
A-NEO-225	A	NEO	小姨～我们又见面啦 开机大吉～心情美丽小姨这次我们江湖见	小姨～我们又见面啦 开机大吉～心情美丽小姨这次我们日后再见	Auntie~ we meet again! Wishing you a smooth start to filming~ I’m in a great mood. Auntie, this time I’ll see you out in the world.	江湖见	see you in the jianghu	日后再见	CSM
A-NEO-233	A	NEO	吃瓜吃到自己身上……	围观的八卦竟然与自己有关……	The drama I was watching turned out to be about me...	吃瓜吃到自己身上	eat melon ‖ watch the drama	围观的八卦竟然与自己有关	CSM
A-NEO-234	A	NEO	弹错了一丢丢，但先这样吧… #电吉他[话题]# #shoegaze[话题]#	弹错了一点点，但先这样吧… #电吉他[话题]# #shoegaze[话题]#	I played a tiny bit wrong, but let’s leave it like this for now... #ElectricGuitar #Shoegaze	一丢丢	a little bit	一点点	CSM
A-NEO-236	A	NEO	全是大漏勺	全是藏不住秘密的人	None of them can keep a secret.	大漏勺	big colander	藏不住秘密的人	CSM
A-NEO-237	A	NEO	哪吒的童子尿包浓郁的呀	哪吒的童子尿肯定很浓郁呀	Ne Zha’s virgin-boy pee is guaranteed to be potent.	包浓郁的呀	very rich aroma	肯定很浓郁呀	CSM
A-NEO-238	A	NEO	发尾乱乱的有点二次元感	发尾乱乱的有点动漫风格	The messy ends give it a bit of an anime look.	二次元感	2D feel	动漫风格	CSM
A-NEO-240	A	NEO	怎么伦敦地铁也开始上演“春运现场”了，乌泱泱一大片人群！	怎么伦敦地铁也开始上演春运般拥挤的场面了，乌泱泱一大片人群！	Why does the London Underground look like the Spring Festival travel rush now? It’s a sea of people!	“春运现场”	“春运现场”	春运般拥挤的场面	CSM
A-NEO-241	A	NEO	姐妹们帮我看看这是本人还是网图	姐妹们帮我看看这是本人还是网络图片	Girls, help me figure out whether this is really them or just a picture from the internet.	网图	internet image	网络图片	CSM
A-NEO-242	A	NEO	紧接着帝国拒信接下来就是剑桥的拒信，trinity hall不直录我，扔我进池子里是吧，好好好，不录取我是你的损失	紧接着帝国拒信接下来就是剑桥的拒信，trinity hall不直接录取我，扔我进池子里是吧，好好好，不录取我是你的损失	First the Imperial rejection, now Cambridge. Trinity Hall won’t give me a direct offer and tossed me into the pool instead? Fine, fine—your loss if you don’t admit me.	直录	direct admission	直接录取	CSM
A-NEO-243	A	NEO	约好在莱山上海滩附近贸易，当打开酒盖后，整个人麻了。怎么办？	约好在莱山上海滩附近贸易，当打开酒盖后，整个人不知所措。怎么办？	We agreed to meet near Shanghai Beach in Laishan for the trade. The moment I opened the liquor bottle, I went numb. What should I do?	整个人麻了	whole person is numb	整个人不知所措	CSM
A-NEO-249	A	NEO	怒排两个小时 差点以为自己在环球影城 每当你以为要排到的时候发现还要绕蛇饼 超幸运抽到了2 能换到6就最好了有人看看我吗	排了整整两个小时 差点以为自己在环球影城 每当你以为要排到的时候发现还要绕蛇饼 超幸运抽到了2 能换到6就最好了有人看看我吗	Queued furiously for two hours—I almost thought I was at Universal Studios. Every time you think you’re near the front, there’s another endless zigzag. I was super lucky and drew No. 2; it would be perfect if I could trade it for No. 6. Anyone interested?	怒排	angrily queue	排了整整	CSM
A-NEO-250	A	NEO	什么让我看起来像个小丑🤡	什么让我看起来像个小丑	What makes me look like a clown? 🤡	小丑🤡	clown	小丑	CSM
A-NEO-251	A	NEO	前站姐 追星丰富 曾后援会皮下管理组 有问必答	前粉丝站负责人 追星丰富 曾后援会皮下管理组 有问必答	Former fan-site admin with years of fandom experience; previously part of a fan support club’s behind-the-scenes management team. Ask me anything.	站姐	fan station leader	粉丝站负责人	CSM
A-NEO-252	A	NEO	这是哪套啊，怎么从未见过 这是又被偷跑了？	这是哪套啊，怎么从未见过 这是又被提前泄露了？	Which set is this? I’ve never seen it before. Did it get leaked early again?	偷跑	leak early	提前泄露	CSM
A-MIX-001	A	MIX	K宝，冰上的精灵	卡米拉·瓦利耶娃，冰上的精灵	Kamila Valieva, an ice fairy.	K宝	Kamila Valieva ‖ Kamila	卡米拉·瓦利耶娃	CSM
A-MIX-002	A	MIX	图fine秒mine[doge]	图很好看，我立刻保存了[doge]	Great pic—saved it instantly. [doge]	fine秒mine	looks great, saved it instantly ‖ great pic, instantly mine	很好看，我立刻保存了	CSM
A-MIX-003	A	MIX	erguotou二锅头[doge]	二锅头[doge]	Erguotou baijiu. [doge]	erguotou二锅头	erguotou ‖ Chinese baijiu	二锅头	CSM
A-MIX-004	A	MIX	王鹤棣黑夜告白杀青多机位完整版原声CUT	王鹤棣黑夜告白杀青多机位完整版原声片段	Full multi-camera cut with original audio from Dylan Wang’s wrap on Light to the Night.	CUT	clip ‖ cut	片段	CSM
A-PYA-013	A	PYA	kou令:美事相伴福运满堂80	口令:美事相伴福运满堂80	Passphrase: “May good things be with you and good fortune fill your home”; code 80.	kou令	passphrase ‖ code word	口令	CSM
A-MIX-006	A	MIX	请你说英语，speeekyingyu	请你说英语，说英语	Please speak English.	speeekyingyu	speak English ‖ please speak English	说英语	CSM
A-PYA-014	A	PYA	a萍五官挺好的	阿萍五官挺好的	A-Ping has really attractive facial features.	a萍	A-Ping ‖ Ah Ping	阿萍	CSM
A-PYA-015	A	PYA	已关注qiu fen xiang	已关注求分享	I've followed you—please share it with me.	qiu fen xiang	please share ‖ asking you to share it	求分享	CSM
A-MIX-009	A	MIX	le｜我的故事是双女主	女同性恋题材｜我的故事是双女主	Lesbian fiction | My story has two female leads.	le	lesbian fiction ‖ GL	女同性恋题材	CSM
A-MIX-010	A	MIX	主页ep和隐藏	主页有公开剧集和隐藏内容	Public episodes and hidden content are on my profile.	主页ep和隐藏	public episodes and hidden content	主页有公开剧集和隐藏内容	CSM
A-MIX-011	A	MIX	一想到这是谁家 crush ，我就想笑	一想到这是谁家 暗恋对象 ，我就想笑	I laugh every time I think about whose crush this is.	crush	crush ‖ secret admirer	暗恋对象	CSM
A-MIX-014	A	MIX	我真的很喜欢这对CP，谢谢你的英文字幕。迫不及待想看下一集了	我真的很喜欢这对组合，谢谢你的英文字幕。迫不及待想看下一集了	I really love this pairing. Thanks for the English subtitles—I can’t wait for the next episode.	CP	CP ‖ couple ‖ pairing	组合	CSM
A-MIX-016	A	MIX	LOL...你到底在说什么	哈哈...你到底在说什么	LOL... what are you even talking about?	LOL	LOL ‖ laugh out loud	哈哈	CSM
A-MIX-018	A	MIX	𝙡𝙞𝙫𝙚清清爽爽的幸福瞬间🐚🌾🍄‍🟫	实况清清爽爽的幸福瞬间🐚🌾🍄‍🟫	Live photos of fresh, carefree moments of happiness 🐚🌾🍄‍🟫	𝙡𝙞𝙫𝙚	live photo	实况	CSM
A-MIX-025	A	MIX	“我是ENTP”接下来，生成一朵关于它的花：	“我是辩论家型人格”接下来，生成一朵关于它的花：	“I’m an ENTP.” Next, generate a flower inspired by it:	ENTP	ENTP	辩论家型人格	CSM
A-MIX-027	A	MIX	像ins偷了喧嚣的毛	像Instagram偷了喧嚣的毛	It looks like Instagram stole Xuanxiao’s fur.	ins	Instagram	Instagram	CSM
A-MIX-029	A	MIX	#ENFJ型人格	#主人公型人格	#ENFJPersonality	ENFJ型人格	ENFJ	主人公型人格	CSM
A-MIX-030	A	MIX	可以做天文介紹的視頻，或是 #ufo外星人 相關的視頻	可以做天文介紹的視頻，或是 #不明飞行物或外星人 相關的視頻	You could make videos introducing astronomy or videos about #UFOs and aliens.	ufo外星人	UFOs or aliens	不明飞行物或外星人	CSM
A-MIX-034	A	MIX	IG年轻人爱用的“hype boy”是什么意思	Instagram年轻人爱用的“hype boy”是什么意思	What does “hype boy,” a phrase young people use on Instagram, mean?	IG	Instagram ‖ IG	Instagram	CSM
A-MIX-035	A	MIX	赵一博冰条钩织get(附图解)	赵一博冰条钩织完成(附图解)	Zhao Yibo’s chenille-yarn crochet—learned it (diagram included).	钩织get	finished crocheting ‖ got the crochet done	钩织完成	CSM
A-MIX-036	A	MIX	🇺🇸🍽️｜纽约最适合date的餐厅出现了❗️	🇺🇸🍽️｜纽约最适合约会的餐厅出现了❗️	🇺🇸🍽️ | I’ve found the perfect restaurant for a date in New York❗️	date	date	约会	CSM
A-MIX-037	A	MIX	mark一些漂亮的秋冬美甲10.0	收藏一些漂亮的秋冬美甲10.0	Saving some pretty fall/winter nail designs 10.0.	mark	mark ‖ save	收藏	CSM
A-MIX-040	A	MIX	小wieiad vlog 🖤	简短的一日饮食视频 🖤	A little What I Eat in a Day vlog 🖤	小wieiad vlog	a short What I Eat in a Day vlog	简短的一日饮食视频	CSM
A-MIX-041	A	MIX	POV：你是个女的，在北京打开了datingapp	第一视角：你是个女的，在北京打开了datingapp	POV: You’re a woman opening a dating app in Beijing.	POV	POV ‖ point of view	第一视角	CSM
A-MIX-042	A	MIX	i人在首尔住到了本命酒店！明洞！值哭😭	内向者在首尔住到了本命酒店！明洞！值哭😭	An introvert stayed at their dream hotel in Seoul! Myeong-dong! Worth every tear 😭	i人	introvert ‖ I-person	内向者	CSM
A-MIX-044	A	MIX	想大海和sun kissed life	想大海和阳光生活	Missing the ocean and a sun-kissed life.	sun kissed life	sun-kissed life	阳光生活	CSM
A-MIX-045	A	MIX	改一个要发财的ID	改一个要发财的账号	Changing my username to something that’ll make me rich.	ID	ID ‖ username	账号	CSM
A-MIX-046	A	MIX	东郊记忆一日Citywalk（逛吃攻略平价版！	东郊记忆一日城市漫步（逛吃攻略平价版！	One-day city walk at Eastern Suburb Memory (budget food-and-shopping guide!)	Citywalk	city walk ‖ urban stroll	城市漫步	CSM
A-MIX-047	A	MIX	台北｜I人天堂有switch 跟按摩椅的高級貓咖	台北｜内向者天堂有switch 跟按摩椅的高級貓咖	Taipei | An introvert’s dream: an upscale cat café with a Switch and massage chairs.	I人	introvert ‖ I-person	内向者	CSM
A-MIX-048	A	MIX	周大福故宫系列编绳🔥live图直出✨追求完美✨	周大福故宫系列编绳🔥实况照片直出✨追求完美✨	Chow Tai Fook Palace Museum braided bracelet 🔥 Straight-from-Live-Photo shots ✨ Chasing perfection ✨	live图	live	实况照片	CSM
A-MIX-049	A	MIX	新美甲look♡♩波点熊仔🐻🍒🎀圣诞氛围感	新美甲造型♡♩波点熊仔🐻🍒🎀圣诞氛围感	New nail look ♡♩ Polka-dot teddy bears 🐻🍒🎀 Christmas vibes.	look	look ‖ outfit	造型	CSM
